area,perimeter,corners,label,ratio_area_perimeter
12.5,14.0,3,triangle,0.8928571428571429
16.0,16.0,4,square,1.0
18.8,15.7,0,circle,1.1974522292993632
30.0,21.0,3,triangle,1.4285714285714286
32.0,22.0,4,square,1.4545454545454546
28.3,20.1,0,circle,1.407960199004975
10.2,12.0,3,triangle,0.85
25.1,19.0,4,square,1.3210526315789475
22.7,18.0,0,circle,1.261111111111111
14.3,15.0,3,triangle,0.9533333333333334
35.2,25.0,4,square,1.4080000000000001
40.1,27.0,0,circle,1.4851851851851852
31.7,22.5,3,triangle,1.4088888888888889
42.5,26.5,4,square,1.6037735849056605
44.3,29.0,0,circle,1.5275862068965516
12.9,13.0,3,triangle,0.9923076923076923
19.1,17.0,4,square,1.1235294117647059
24.7,19.5,0,circle,1.2666666666666666
27.8,20.7,3,triangle,1.3429951690821258
29.9,23.0,4,square,1.3
15.5,16.5,0,circle,0.9393939393939394
20.3,18.3,3,triangle,1.1092896174863387
33.4,24.1,4,square,1.3858921161825726
38.8,26.7,0,circle,1.453183520599251
21.6,20.2,3,triangle,1.0693069306930694
26.2,21.9,4,square,1.1963470319634704
23.1,22.4,0,circle,1.0312500000000002
34.6,25.8,3,triangle,1.3410852713178294
28.9,23.3,4,square,1.240343347639485
41.2,27.5,0,circle,1.4981818181818183
30.32532229547426,28.595692034282227,3,triangle,1.0604856934085891
41.94364358875392,25.85447992857969,3,triangle,1.6222969367250424
12.873684725207992,15.048630023538006,3,triangle,0.8554722061125751
31.98216540644973,18.49490575831713,3,triangle,1.7292418693221727
21.60797093372273,39.77824050514043,3,triangle,0.5432108273097296
14.579952268928231,15.513249671169175,3,triangle,0.9398386913107287
35.1665028333143,39.38045445739807,3,triangle,0.8929938294987823
11.588965200807944,12.44354642765988,3,triangle,0.931323338421244
24.04945374609684,18.866096700958263,3,triangle,1.2747445392281542
14.174584916875896,37.5211783135831,3,triangle,0.37777558045783793
35.60056741293639,16.979429439982624,4,square,2.0966880859438835
48.72348411777028,34.561224178423934,4,square,1.4097730990729096
12.162401170296896,31.26329459215735,4,square,0.38903133303640786
47.441585176799165,31.218226377699217,4,square,1.519675865080187
11.696025089797848,26.845587249333523,4,square,0.43567775147434024
35.466679555176555,31.47224821479204,4,square,1.126919161069247
41.08171560632476,37.23150857226017,4,square,1.1034125981382672
31.238324990701194,16.51143531062913,4,square,1.8919206236778052
16.06212616471891,13.187640374908035,4,square,1.217968166259684
25.99327377948647,39.65389409465237,4,square,0.6555036869126015
29.002456395828936,15.719174264182431,0,circle,1.8450368898774583
36.38710787591037,37.22197930198988,0,circle,0.9775704720239076
11.007141494673176,19.253492151750915,0,circle,0.5716958465465801
40.36177795380993,34.57209794664267,0,circle,1.1674668403434134
18.10816645713921,32.02267669981286,0,circle,0.5654794765249912
10.035062966039344,23.79100912816344,0,circle,0.4218006437633613
44.44244525319487,35.157978911124246,0,circle,1.2640785002329287
15.227732079105127,29.384687819230727,0,circle,0.5182199713259972
32.94432631541828,13.53405600352709,0,circle,2.434179842822633
19.98714752012197,11.89072429547129,0,circle,1.6809024432375652
13.018440682311711,38.00383918742951,5,pentagon,0.34255593541764606
31.733609863664466,33.57177552145015,5,pentagon,0.94524669520052
19.460740994311003,25.11528450263744,5,pentagon,0.7748564820066985
48.37483689207878,19.892468422736208,5,pentagon,2.4318166988662147
17.177679329100265,12.437934776110358,5,pentagon,1.381071668111138
13.745727572711072,35.63802816964416,5,pentagon,0.38570393140941056
41.30184387447642,24.45469770062121,5,pentagon,1.6889124690928912
43.56575378771728,19.317803282688608,5,pentagon,2.255212621755919
14.187170909486753,35.22644033234532,5,pentagon,0.4027421100638412
48.8655373057655,39.530442366802845,5,pentagon,1.236149518701115
34.36773611151722,30.917875398096733,5,pentagon,1.1115814288336532
44.72226451271671,25.638612970000967,5,pentagon,1.7443324475097386
14.534289618336643,21.398344581698165,5,pentagon,0.6792249541942467
12.795202201373543,28.88463369729373,5,pentagon,0.44297609363737084
28.31765405386749,18.86030867353166,5,pentagon,1.5014417072403572
42.4946287656553,29.03980733012638,5,pentagon,1.4633233713493226
21.874261683104624,16.97038048381698,5,pentagon,1.28896707436607
35.26480443118297,25.40595937749052,5,pentagon,1.3880524607320006
35.14808465644058,12.330571239976535,5,pentagon,2.8504830775794185
29.66155931875107,27.267180420175773,5,pentagon,1.0878117525053534
10.87768131528514,17.64406246638597,6,hexagon,0.616506620060341
39.53447311753874,30.928757709755413,6,hexagon,1.2782431641303507
23.949083870215407,34.025870431980465,6,hexagon,0.7038492642852711
20.711966293522973,26.01106886374509,6,hexagon,0.7962750935772522
19.428806696916823,36.67654565925568,6,hexagon,0.5297338216477804
34.92191668051519,15.728134644492584,6,hexagon,2.2203470068043676
24.068038082561166,15.17462667950902,6,hexagon,1.5860711825656522
36.25239807680478,13.564632465928254,6,hexagon,2.672567662106867
14.97802075179893,38.96648383718404,6,hexagon,0.38438214785769426
35.097873381074095,39.51467023318395,6,hexagon,0.8882238716394327
43.71351730032984,31.94346523616593,6,hexagon,1.3684650984839937
19.52402190192242,27.422793714320036,6,hexagon,0.7119632706031362
47.29350779524172,39.16996366091681,6,hexagon,1.207392179493658
15.247006302902456,18.562871097475075,6,hexagon,0.8213711242640884
49.57575728604407,34.72223113101245,6,hexagon,1.4277814435076746
18.788874997282576,38.82710551422831,6,hexagon,0.4839112972353125
21.995192143015952,30.4356966282431,6,hexagon,0.7226774669124971
21.74616641129067,35.24314196886239,6,hexagon,0.6170325685066215
34.90525516171992,23.015107489285626,6,hexagon,1.5166235994322248
45.18354685527609,30.307355180117938,6,hexagon,1.4908442715224834
